Unnamed: 0,names,rates,director,actors
110,Toransufômâ,7.0,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson"
111,Amerikan Hisutori X,8.5,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien"
112,Wasp Network,5.8,Olivier Assayas,"Penélope Cruz, Edgar Ramírez, Gael García Bernal, Ana de Armas"
113,Coco,8.4,,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach"
114,トゥルー・ロマンス,7.9,Tony Scott,"Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer"
115,Tales from the Loop,7.5,,"Daniel Zolghadri, Paul Schneider, Rebecca Hall, Robert Nahum Allen"
116,007: Kajino rowaiyaru,8.0,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright"
117,Last Chance U,8.5,,"Ron Ollie, John III Franklin, Buddy Stephens, Brittany Wagner"
118,Mission: Impossible - Rogue Nation,7.4,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg"
119,Rezaboa Doggusu,8.3,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
120,A Discovery of Witches,8.1,,"Gregg Chillin, Matthew Goode, Teresa Palmer, Valarie Pettiford"
121,The Head,6.8,,"John Lynch, Katharine O'Donnelly, Alexandre Willaume, Richard Sammel"
122,Agatha Christie's Marple,7.8,,"Geraldine McEwan, Julia McKenzie, Stephen Churchett, Isabella Parriss"
123,Orphan Black,8.3,,"Tatiana Maslany, Dylan Bruce, Jordan Gavaris, Kevin Hanchard"
124,Everybody Loves Raymond,7.1,,"Ray Romano, Patricia Heaton, Brad Garrett, Doris Roberts"
125,Purometeusu,7.0,Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron"
126,Sasuperia,6.8,Luca Guadagnino,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela"
127,Monster,7.3,Patty Jenkins,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen"
128,007/Shinu no wa yatsurada,6.8,Guy Hamilton,"Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James"
129,Why Women Kill,8.3,,"Lucy Liu, Ginnifer Goodwin, Kirby Howell-Baptiste, Alexandra Daddario"
